ad_idx,ad_start,ad_end,company,overlap_ratio,detected,date
1,0.0,12.3,위더스제약,0.268,False,20241125
2,12.3,41.05,배철수의라디오,0.581,True,20241125
3,473.88,493.8,현대해상,0.994,True,20241125
4,493.8,512.36,태극제약,1.0,True,20241125
5,512.36,534.1,LG,1.0,True,20241125
6,534.1,554.2,자코모,1.0,True,20241125
7,554.2,574.18,미래에셋 증권,0.44,False,20241125
8,1720.07,1723.69,MBC,0.0,False,20241125
9,1723.69,1743.98,악보바다,0.788,True,20241125
10,1743.98,1763.91,친환경농산물자조금관리위원회,1.0,True,20241125
11,1763.91,1782.5,로보로보,1.0,True,20241125
12,1782.5,1799.82,레이노,1.0,True,20241125
13,1799.82,1818.94,MBC,0.585,True,20241125
14,2874.69,2894.4,미래에셋 증권,0.883,True,20241125
15,2894.4,2914.24,동화약품,1.0,True,20241125
16,2914.24,2934.24,아이에스동서,1.0,True,20241125
17,2934.24,2954.49,신한은행,1.0,True,20241125
18,2954.49,2974.31,다우닝,1.0,True,20241125
19,2974.31,2994.0,하나투어,1.0,True,20241125
20,2994.0,3012.81,백조씽크,1.0,True,20241125
21,3012.81,3034.09,KFC,1.0,True,20241125
22,3034.09,3054.43,삼성자산운용,1.0,True,20241125
23,3054.43,3095.33,통계청,0.919,True,20241125
24,3366.57,3426.25,SK브로드밴드,0.306,False,20241125
25,3426.25,3433.65,MBC,1.0,True,20241125
26,3433.65,3448.5,현대해상,1.0,True,20241125
27,3448.5,3463.0,성원애드피아,1.0,True,20241125
28,3463.0,3483.78,몽잘,1.0,True,20241125
29,3483.78,3503.82,헬피,1.0,True,20241125
30,3503.82,3524.04,와우프레스,1.0,True,20241125
31,3524.04,3543.54,삼진제약,1.0,True,20241125
32,3543.54,3563.8,아이두젠,1.0,True,20241125
33,3563.8,3583.65,루트비,1.0,True,20241125
34,3583.65,3608.56,한돈,1.0,True,20241125
35,3608.56,3612.37,한돈,1.0,True,20241125
36,3995.96,4015.33,오뚜기,0.998,True,20241125
37,4015.33,4035.58,삼성금융네트웍스,1.0,True,20241125
38,5326.55,5343.66,경기도,0.74,True,20241125
39,5343.66,5363.16,한국폴리텍대학,1.0,True,20241125
40,5363.16,5404.06,환경부와 환경책임보험사업단,0.95,True,20241125
41,5404.06,5418.81,MBC,0.0,False,20241125
42,6543.0,6562.7,NH농협은행,1.0,True,20241125
43,6562.7,6582.4,포스코 E&C,1.0,True,20241125
44,6582.4,6602.35,제주은희네해장국,1.0,True,20241125
45,6602.35,6622.45,웰메이드,1.0,True,20241125
46,6622.45,6642.36,서울원,1.0,True,20241125
47,6642.36,6662.7,동국제약,1.0,True,20241125
48,6662.7,6682.6,지벤,1.0,True,20241125
49,6682.6,6702.66,우리은행연금프렌즈,1.0,True,20241125
