ad_idx,ad_start,ad_end,company,overlap_ratio,detected,date
1,0.0,9.4,환경부와 환경책임보험사업단,0.0,False,20241121
2,9.4,29.18,코지마,0.0,False,20241121
3,29.18,33.03,SBS,0.0,False,20241121
4,33.03,50.49,박하선의씨네타운,0.0,False,20241121
5,435.87,457.55,NH투자증권,1.0,True,20241121
6,457.55,468.3,롯데렌탈,1.0,True,20241121
7,468.3,495.3,보건복지부,1.0,True,20241121
8,495.3,514.32,현대자동차,1.0,True,20241121
9,514.32,535.33,문산역3차동문디이스트센트럴,1.0,True,20241121
10,535.33,555.2,신한,1.0,True,20241121
11,555.2,575.74,삼성증권,1.0,True,20241121
12,575.74,599.13,박하선의씨네타운,0.866,True,20241121
13,1662.0,1722.71,닥터피엘,1.0,True,20241121
14,1722.71,1725.53,SBS,1.0,True,20241121
15,1725.53,1744.34,친환경농산물자조금관리위원회,1.0,True,20241121
16,1744.34,1764.76,포항,1.0,True,20241121
17,1764.76,1785.13,SBS,1.0,True,20241121
18,1785.13,1804.88,블루스퀘어,1.0,True,20241121
19,1804.88,1825.06,SBS,0.749,True,20241121
20,1825.06,1835.54,SBS,0.0,False,20241121
21,1835.54,1837.55,SBS,0.0,False,20241121
22,1896.21,1925.82,박하선의씨네타운,0.906,True,20241121
23,3063.0,3083.21,가마치통닭,0.258,False,20241121
24,3083.21,3102.82,고려기프트,1.0,True,20241121
25,3102.82,3119.42,미래에셋증권,1.0,True,20241121
26,3119.42,3143.08,KB국민은행,1.0,True,20241121
27,3143.08,3162.58,신한,1.0,True,20241121
28,3162.58,3182.57,새만금개발공사,1.0,True,20241121
29,3182.57,3197.61,12시에주현영,1.0,True,20241121
30,3197.61,3272.71,씨네타운,1.0,True,20241121
31,3446.0,3469.4,성원애드피아,0.957,True,20241121
32,3469.4,3489.78,고용노동부,1.0,True,20241121
33,3489.78,3509.62,뮤지컬 리지,1.0,True,20241121
34,3509.62,3529.43,삼진제약,1.0,True,20241121
35,3529.43,3549.67,경기도,1.0,True,20241121
36,3549.67,3587.87,한국도로공사,1.0,True,20241121
37,3587.87,3608.29,숭실사이버대학교,1.0,True,20241121
38,3608.29,3630.0,SBS,0.954,True,20241121
1,0.0,9.19,환경부와 환경책임보험사업단,1.0,True,20241122
2,9.19,28.94,코지마,1.0,True,20241122
3,28.94,36.23,SBS,0.008,False,20241122
4,36.23,50.49,박하선의씨네타운,0.0,False,20241122
5,616.23,636.07,NH투자증권,1.0,True,20241122
6,636.07,655.72,롯데렌탈,1.0,True,20241122
7,655.72,676.08,보건복지부,1.0,True,20241122
8,676.08,695.94,문산역3차동문디이스트센트럴,1.0,True,20241122
9,695.94,715.44,신한,1.0,True,20241122
10,715.44,736.14,삼성증권,1.0,True,20241122
11,736.14,755.76,현대자동차,1.0,True,20241122
12,755.76,771.48,박하선의씨네타운,1.0,True,20241122
13,1663.7,1722.47,닥터피엘,0.263,False,20241122
14,1722.47,1725.32,SBS,1.0,True,20241122
15,1725.32,1744.87,친환경농산물자조금관리위원회,1.0,True,20241122
16,1744.87,1764.54,포항,1.0,True,20241122
17,1764.54,1783.0,SBS,1.0,True,20241122
18,1783.0,1804.07,블루스퀘어,1.0,True,20241122
19,1804.07,1824.58,SBS,1.0,True,20241122
20,1824.58,1835.28,SBS,1.0,True,20241122
21,1835.28,1837.54,SBS,1.0,True,20241122
22,1896.71,1926.18,박하선의씨네타운,1.0,True,20241122
23,3123.52,3143.29,가마치통닭,1.0,True,20241122
24,3143.29,3163.02,고려기프트,1.0,True,20241122
25,3163.02,3183.24,미래에셋증권,1.0,True,20241122
26,3183.24,3203.28,KB국민은행,1.0,True,20241122
27,3203.28,3222.79,신한,1.0,True,20241122
28,3222.79,3242.78,새만금개발공사,1.0,True,20241122
29,3242.78,3263.75,코지마,1.0,True,20241122
30,3263.75,3278.0,12시에주현영,1.0,True,20241122
31,3278.0,3352.3,씨네타운,1.0,True,20241122
32,3445.42,3469.17,성원애드피아,1.0,True,20241122
33,3469.17,3489.97,고용노동부,1.0,True,20241122
34,3489.97,3509.37,뮤지컬 리지,1.0,True,20241122
35,3509.37,3529.2,삼진제약,1.0,True,20241122
36,3529.2,3549.42,경기도,1.0,True,20241122
37,3549.42,3587.62,한국도로공사,1.0,True,20241122
38,3587.62,3609.54,숭실사이버대학교,1.0,True,20241122
39,3609.54,3620.0,SBS,1.0,True,20241122
1,0.0,8.92,환경부와 환경책임보험사업단,0.0,False,20241123
2,8.92,28.55,코지마,0.0,False,20241123
3,28.55,35.45,SBS,0.0,False,20241123
4,35.45,49.81,박하선의씨네타운,0.962,True,20241123
5,449.6,469.67,NH투자증권,1.0,True,20241123
6,469.67,489.46,문산역3차동문디이스트센트럴,1.0,True,20241123
7,489.46,509.57,삼성증권,1.0,True,20241123
8,509.57,529.28,신한,1.0,True,20241123
9,529.28,549.67,현대자동차,1.0,True,20241123
10,549.67,569.6,보건복지부,1.0,True,20241123
11,569.6,589.59,신한은행,1.0,True,20241123
12,589.59,609.76,롯데렌탈,1.0,True,20241123
13,609.76,629.61,서울원,1.0,True,20241123
14,629.61,645.11,박하선의씨네타운,1.0,True,20241123
15,1663.38,1722.51,닥터피엘,0.973,True,20241123
16,1722.51,1725.31,SBS,1.0,True,20241123
17,1725.31,1745.0,친환경농산물자조금관리위원회,1.0,True,20241123
18,1745.0,1765.0,포항,1.0,True,20241123
19,1765.0,1785.0,SBS,0.2,False,20241123
20,1785.0,1804.75,뮤지컬,0.089,False,20241123
21,1804.75,1825.09,SBS,1.0,True,20241123
22,1825.09,1834.94,SBS,1.0,True,20241123
23,1834.94,1837.25,SBS,1.0,True,20241123
24,1895.68,1924.96,박하선의씨네타운,1.0,True,20241123
