date,block_start,block_end,ad_start,ad_end,company,product,
20241125,0.0,41.05,0.0,12.30,위더스제약,6시시보광고,
20241125,0.0,41.05,12.30,41.05,배철수의라디오,오프닝곡,
20241125,473.88,574.18,473.88,493.80,현대해상,하이카,
20241125,473.88,574.18,493.80,512.36,태극제약,벤트플라겔,
20241125,473.88,574.18,512.36,534.10,LG,힐링미 MX9,
20241125,473.88,574.18,534.10,554.20,자코모,자코모,
20241125,473.88,574.18,554.20,574.18,미래에셋 증권,퇴직연금,
20241125,1720.07,1818.94,1720.07,1723.69,MBC,FM4U,
20241125,1720.07,1818.94,1723.69,1743.98,악보바다,악보바다,
20241125,1720.07,1818.94,1743.98,1763.91,친환경농산물자조금관리위원회,친환경농산물,
20241125,1720.07,1818.94,1763.91,1782.50,로보로보,로보로보,
20241125,1720.07,1818.94,1782.50,1799.82,레이노,레이노썬팅,
20241125,1720.07,1818.94,1799.82,1818.94,MBC,날씨와생활,
20241125,2874.69,3095.33,2874.69,2894.40,미래에셋 증권,퇴직연금,
20241125,2874.69,3095.33,2894.40,2914.24,동화약품,잇치페이스트,
20241125,2874.69,3095.33,2914.24,2934.24,아이에스동서,아이에스동서,
20241125,2874.69,3095.33,2934.24,2954.49,신한은행,퇴직연금,
20241125,2874.69,3095.33,2954.49,2974.31,다우닝,가죽소파,
20241125,2874.69,3095.33,2974.31,2994.00,하나투어,2024 전지구적여행페스타 하나국제여행제,
20241125,2874.69,3095.33,2994.00,3012.81,백조씽크,싱크볼,
20241125,2874.69,3095.33,3012.81,3034.09,KFC,커넬 오리지널,
20241125,2874.69,3095.33,3034.09,3054.43,삼성자산운용,삼성코덱스ETF,
20241125,2874.69,3095.33,3054.43,3095.33,통계청,캠페인,
20241125,3366.57,3612.37,3366.57,3426.25,SK브로드밴드,AI Btv,
20241125,3366.57,3612.37,3426.25,3433.65,MBC,스마트라디오mini,
20241125,3366.57,3612.37,3433.65,3448.50,현대해상,하이카,
20241125,3366.57,3612.37,3448.50,3463.00,성원애드피아,캘린더,
20241125,3366.57,3612.37,3463.00,3483.78,몽잘,바리스칼스 샴푸,
20241125,3366.57,3612.37,3483.78,3503.82,헬피,헬피,
20241125,3366.57,3612.37,3503.82,3524.04,와우프레스,특가책자
20241125,3366.57,3612.37,3524.04,3543.54,삼진제약,게보린,
20241125,3366.57,3612.37,3543.54,3563.80,아이두젠,따수미 난방텐트,
20241125,3366.57,3612.37,3563.80,3583.65,루트비,중심얼얼,
20241125,3366.57,3612.37,3583.65,3608.56,한돈,한돈,
20241125,3366.57,3612.37,3608.56,3612.37,한돈,7시시보광고,
20241125,3995.96,4035.58,3995.96,4015.33,오뚜기,가벼운참치,
20241125,3995.96,4035.58,4015.33,4035.58,삼성금융네트웍스,삼성금융연금력,
20241125,5326.55,5418.81,5326.55,5343.66,경기도,더경기패스,
20241125,5326.55,5418.81,5343.66,5363.16,한국폴리텍대학,한국폴리텍대학,
20241125,5326.55,5418.81,5363.16,5404.06,환경부와 환경책임보험사업단,캠페인,
20241125,5326.55,5418.81,5404.06,5418.81,MBC,날씨와생활,
20241125,6543.00,6713.40,6543.00,6562.7,NH농협은행,NH퇴직연금,
20241125,6543.00,6713.40,6562.7,6582.4,포스코 E&C,더샵 퍼스트월드,
20241125,6543.00,6713.40,6582.4,6602.35,제주은희네해장국,제주은희네해장국,
20241125,6543.00,6713.40,6602.35,6622.45,웰메이드,웰메이드,
20241125,6543.00,6713.40,6622.45,6642.36,서울원,아이파크,
20241125,6543.00,6713.40,6642.36,6662.7,동국제약,판시딜,
20241125,6543.00,6713.40,6662.7,6682.6,지벤,안전화,
20241125,6543.00,6713.40,6682.6,6702.66,우리은행연금프렌즈,퇴직연금,
20241125,6543.00,6713.40,6702.66,6713.40,윤태진의 FM 데이트,윤태진의 FM 데이트,
20241125,6967.05,7206.0,6967.05,7026.13,AI한컴,캠페인,
20241125,6967.05,7206.0,7026.13,7033.36,MBC,스마트라디오mini,
20241125,6967.05,7206.0,7033.36,7043.28,현대해상,하이카,
20241125,6967.05,7206.0,7043.28,7063.56,성원애드피아,캘린더,
20241125,6967.05,7206.0,7063.56,7080.03,대왕님표 여주쌀,대왕님표 여주쌀,
20241125,6967.05,7206.0,7080.03,7103.71,헬피,헬피,
20241125,6967.05,7206.0,7103.71,7124.00,룸페커,룸페커,
20241125,6967.05,7206.0,7124.00,7141.52,숭실사이버대학교,숭실사이버대학교,
20241125,6967.05,7206.0,7141.52,7163.3,RSV 질환 인식 캠페인,RSV 질환 인식 캠페인,
20241125,6967.05,7206.0,7163.3,7185.2,대관령원예농협,절임배추,
20241125,6967.05,7206.0,7185.2,7206.0,위더스제약,위더스제약,
