ad_idx,ad_start,ad_end,company,overlap_ratio,detected,date,broadcaster
1,0.0,14.43,위더스제약,0.705,True,20241124,baechulsu
2,14.43,42.88,배철수의라디오,0.0,False,20241124,baechulsu
3,388.75,409.61,현대해상,0.671,True,20241124,baechulsu
4,409.61,429.71,태극제약,1.0,True,20241124,baechulsu
5,429.71,449.26,LG,1.0,True,20241124,baechulsu
6,449.26,469.4,자코모,1.0,True,20241124,baechulsu
7,469.4,489.36,미래에셋 증권,1.0,True,20241124,baechulsu
8,1721.48,1724.98,MBC,0.994,True,20241124,baechulsu
9,1724.98,1740.05,악보바다,1.0,True,20241124,baechulsu
10,1740.05,1765.21,친환경농산물자조금관리위원회,1.0,True,20241124,baechulsu
11,1765.21,1783.85,로보로보,1.0,True,20241124,baechulsu
12,1783.85,1805.54,레이노,1.0,True,20241124,baechulsu
13,1805.54,1820.58,MBC,1.0,True,20241124,baechulsu
14,2993.25,3013.21,미래에셋 증권,0.98,True,20241124,baechulsu
15,3013.21,3033.07,동화약품,1.0,True,20241124,baechulsu
16,3033.07,3053.07,아이에스동서,1.0,True,20241124,baechulsu
17,3053.07,3073.17,하나투어,1.0,True,20241124,baechulsu
18,3073.17,3093.12,다우닝,1.0,True,20241124,baechulsu
19,3093.12,3113.27,신한은행,1.0,True,20241124,baechulsu
20,3113.27,3131.62,백조씽크,1.0,True,20241124,baechulsu
21,3131.62,3153.31,KFC,1.0,True,20241124,baechulsu
22,3153.31,3173.43,삼성자산운용,1.0,True,20241124,baechulsu
23,3173.43,3214.99,통계청,1.0,True,20241124,baechulsu
24,3367.95,3427.61,SK브로드밴드,0.982,True,20241124,baechulsu
25,3427.61,3434.58,MBC,1.0,True,20241124,baechulsu
26,3434.58,3444.79,현대해상,1.0,True,20241124,baechulsu
27,3444.79,3465.48,성원애드피아,1.0,True,20241124,baechulsu
28,3465.48,3485.47,몽잘,1.0,True,20241124,baechulsu
29,3485.47,3505.12,헬피,1.0,True,20241124,baechulsu
30,3505.12,3525.26,와우프레스,1.0,True,20241124,baechulsu
