broadcaster,date,tp,fp,fn,precision,recall,f1,ad_total,ad_tp,ad_fn,ad_fp_blocks,ad_precision,ad_recall,ad_f1
baechulsu,20241124,1205,947,47,0.5599,0.9625,0.708,61,59,2,11,0.8429,0.9672,0.9008
baechulsu,20241125,1204,1117,44,0.5187,0.9647,0.6747,61,59,2,11,0.8429,0.9672,0.9008
baechulsu,20241126,1020,442,231,0.6977,0.8153,0.7519,61,52,9,8,0.8667,0.8525,0.8595
baechulsu,20260101,1280,985,47,0.5651,0.9646,0.7127,64,62,2,18,0.775,0.9688,0.8611
baechulsu,20260102,1280,1129,45,0.5313,0.966,0.6856,63,62,1,20,0.7561,0.9841,0.8552
baechulsu,20260103,1206,1132,41,0.5158,0.9671,0.6728,62,60,2,16,0.7895,0.9677,0.8696
baechulsu,20260104,1163,893,51,0.5657,0.958,0.7113,61,58,3,9,0.8657,0.9508,0.9062
baechulsu,20260105,1163,870,53,0.5721,0.9564,0.7159,61,58,3,10,0.8529,0.9508,0.8992
baechulsu,20260106,1154,917,47,0.5572,0.9609,0.7054,61,59,2,17,0.7763,0.9672,0.8613
baechulsu,20260107,1153,600,48,0.6577,0.96,0.7806,61,58,3,18,0.7632,0.9508,0.8467
