broadcaster,date,tp,fp,fn,precision,recall,f1,ad_total,ad_tp,ad_fn,ad_fp_blocks,ad_precision,ad_recall,ad_f1
noon,20260101,721,1368,266,0.3451,0.7305,0.4688,38,30,8,19,0.6122,0.7895,0.6897
noon,20260102,609,244,371,0.714,0.6214,0.6645,38,24,14,11,0.6857,0.6316,0.6575
noon,20260108,615,598,365,0.507,0.6276,0.5609,38,23,15,23,0.5,0.6053,0.5476
noon,20260109,794,1477,168,0.3496,0.8254,0.4912,38,34,4,22,0.6071,0.8947,0.7234
noon,20260110,581,604,379,0.4903,0.6052,0.5417,38,23,15,9,0.7188,0.6053,0.6571
noon,20260111,815,2406,145,0.253,0.849,0.3899,38,36,2,16,0.6923,0.9474,0.8
noon,20260112,785,1299,177,0.3767,0.816,0.5154,38,34,4,19,0.6415,0.8947,0.7473
noon,20260113,707,1100,251,0.3913,0.738,0.5114,38,30,8,5,0.8571,0.7895,0.8219
noon,20260114,785,1685,192,0.3178,0.8035,0.4555,38,33,5,23,0.5893,0.8684,0.7021
noon,20260115,584,657,413,0.4706,0.5858,0.5219,39,22,17,24,0.4783,0.5641,0.5176
baechulsu,20241124,1205,947,47,0.5599,0.9625,0.708,61,59,2,11,0.8429,0.9672,0.9008
baechulsu,20241125,1204,1117,44,0.5187,0.9647,0.6747,61,59,2,11,0.8429,0.9672,0.9008
baechulsu,20241126,1020,442,231,0.6977,0.8153,0.7519,61,52,9,8,0.8667,0.8525,0.8595
baechulsu,20260101,1280,985,47,0.5651,0.9646,0.7127,64,62,2,18,0.775,0.9688,0.8611
baechulsu,20260102,1280,1129,45,0.5313,0.966,0.6856,63,62,1,20,0.7561,0.9841,0.8552
baechulsu,20260103,1206,1132,41,0.5158,0.9671,0.6728,62,60,2,16,0.7895,0.9677,0.8696
baechulsu,20260104,1163,893,51,0.5657,0.958,0.7113,61,58,3,9,0.8657,0.9508,0.9062
baechulsu,20260105,1163,870,53,0.5721,0.9564,0.7159,61,58,3,10,0.8529,0.9508,0.8992
baechulsu,20260106,1154,917,47,0.5572,0.9609,0.7054,61,59,2,17,0.7763,0.9672,0.8613
baechulsu,20260107,1153,600,48,0.6577,0.96,0.7806,61,58,3,18,0.7632,0.9508,0.8467
movie,20241120,652,477,173,0.5775,0.7903,0.6673,38,32,6,7,0.8205,0.8421,0.8312
movie,20241121,661,336,150,0.663,0.815,0.7312,38,33,5,12,0.7333,0.8684,0.7952
movie,20241122,681,617,132,0.5247,0.8376,0.6452,39,35,4,22,0.614,0.8974,0.7292
movie,20241123,769,945,104,0.4487,0.8809,0.5945,42,39,3,6,0.8667,0.9286,0.8966
movie,20241124,753,1159,102,0.3938,0.8807,0.5443,41,38,3,10,0.7917,0.9268,0.8539
movie,20241125,758,797,100,0.4875,0.8834,0.6283,41,38,3,6,0.8636,0.9268,0.8941
movie,20241126,809,270,101,0.7498,0.889,0.8135,44,41,3,8,0.8367,0.9318,0.8817
movie,20241127,844,516,126,0.6206,0.8701,0.7245,46,42,4,11,0.7925,0.913,0.8485
movie,20241128,833,1210,152,0.4077,0.8457,0.5502,46,41,5,11,0.7885,0.8913,0.8367
movie,20241129,850,184,108,0.8221,0.8873,0.8534,45,42,3,16,0.7241,0.9333,0.8155
