broadcaster,date,tp,fp,fn,precision,recall,f1,ad_total,ad_tp,ad_fn,ad_fp_blocks,ad_precision,ad_recall,ad_f1
movie,20241120,652,477,173,0.5775,0.7903,0.6673,38,32,6,7,0.8205,0.8421,0.8312
movie,20241121,661,336,150,0.663,0.815,0.7312,38,33,5,12,0.7333,0.8684,0.7952
movie,20241122,681,617,132,0.5247,0.8376,0.6452,39,35,4,22,0.614,0.8974,0.7292
movie,20241123,769,945,104,0.4487,0.8809,0.5945,42,39,3,6,0.8667,0.9286,0.8966
movie,20241124,753,1159,102,0.3938,0.8807,0.5443,41,38,3,10,0.7917,0.9268,0.8539
movie,20241125,758,797,100,0.4875,0.8834,0.6283,41,38,3,6,0.8636,0.9268,0.8941
movie,20241126,809,270,101,0.7498,0.889,0.8135,44,41,3,8,0.8367,0.9318,0.8817
movie,20241127,844,516,126,0.6206,0.8701,0.7245,46,42,4,11,0.7925,0.913,0.8485
movie,20241128,833,1210,152,0.4077,0.8457,0.5502,46,41,5,11,0.7885,0.8913,0.8367
movie,20241129,850,184,108,0.8221,0.8873,0.8534,45,42,3,16,0.7241,0.9333,0.8155
