broadcaster,date,tp,fp,fn,precision,recall,f1,ad_total,ad_tp,ad_fn,ad_fp_blocks,ad_precision,ad_recall,ad_f1
noon,20260101,721,1368,266,0.3451,0.7305,0.4688,38,30,8,19,0.6122,0.7895,0.6897
noon,20260102,609,244,371,0.714,0.6214,0.6645,38,24,14,11,0.6857,0.6316,0.6575
noon,20260108,615,598,365,0.507,0.6276,0.5609,38,23,15,23,0.5,0.6053,0.5476
noon,20260109,794,1477,168,0.3496,0.8254,0.4912,38,34,4,22,0.6071,0.8947,0.7234
noon,20260110,581,604,379,0.4903,0.6052,0.5417,38,23,15,9,0.7188,0.6053,0.6571
noon,20260111,815,2406,145,0.253,0.849,0.3899,38,36,2,16,0.6923,0.9474,0.8
noon,20260112,785,1299,177,0.3767,0.816,0.5154,38,34,4,19,0.6415,0.8947,0.7473
noon,20260113,707,1100,251,0.3913,0.738,0.5114,38,30,8,5,0.8571,0.7895,0.8219
noon,20260114,785,1685,192,0.3178,0.8035,0.4555,38,33,5,23,0.5893,0.8684,0.7021
noon,20260115,584,657,413,0.4706,0.5858,0.5219,39,22,17,24,0.4783,0.5641,0.5176
