date,broadcaster,gt_total,pred_blocks,detection_tp,detection_fp,detection_fn,detection_precision,detection_recall,detection_f1,entity_tp,entity_fp,entity_fn,entity_precision,entity_recall,entity_f1,entity_acc,company_tp,company_fp,company_precision,company_recall,company_f1,company_acc,product_tp,product_fp,product_precision,product_recall,product_f1,product_acc
20241125,baechulsu,61,10,54,1,7,0.9818,0.8852,0.931,40,14,7,0.7407,0.8511,0.7921,0.7407,34,20,0.6296,0.8293,0.7158,0.6296,27,27,0.5,0.7941,0.6136,0.5
20241126,baechulsu,61,10,55,1,6,0.9821,0.9016,0.9402,39,16,6,0.7091,0.8667,0.78,0.7091,33,22,0.6,0.8462,0.7021,0.6,27,28,0.4909,0.8182,0.6136,0.4909
20260102,baechulsu,63,13,54,4,9,0.931,0.8571,0.8926,36,18,9,0.6667,0.8,0.7273,0.6667,35,19,0.6481,0.7955,0.7143,0.6481,24,30,0.4444,0.7273,0.5517,0.4444
20260103,baechulsu,62,9,54,1,8,0.9818,0.871,0.9231,45,9,8,0.8333,0.8491,0.8411,0.8333,36,18,0.6667,0.8182,0.7347,0.6667,32,22,0.5926,0.8,0.6809,0.5926
20260104,baechulsu,61,10,50,1,11,0.9804,0.8197,0.8929,35,15,11,0.7,0.7609,0.7292,0.7,30,20,0.6,0.7317,0.6593,0.6,24,26,0.48,0.6857,0.5647,0.48
20260105,baechulsu,61,10,52,0,9,1.0,0.8525,0.9204,33,19,9,0.6346,0.7857,0.7021,0.6346,29,23,0.5577,0.7632,0.6444,0.5577,22,30,0.4231,0.7097,0.5301,0.4231
20260106,baechulsu,61,12,52,2,9,0.963,0.8525,0.9043,34,18,9,0.6538,0.7907,0.7158,0.6538,30,22,0.5769,0.7692,0.6593,0.5769,21,31,0.4038,0.7,0.5122,0.4038
20260107,baechulsu,61,12,47,2,14,0.9592,0.7705,0.8545,23,24,14,0.4894,0.6216,0.5476,0.4894,21,26,0.4468,0.6,0.5122,0.4468,13,34,0.2766,0.4815,0.3514,0.2766
20241121,movie,38,5,31,0,7,1.0,0.8158,0.8986,23,8,7,0.7419,0.7667,0.7541,0.7419,20,11,0.6452,0.7407,0.6897,0.6452,19,12,0.6129,0.7308,0.6667,0.6129
20241122,movie,39,6,36,0,3,1.0,0.9231,0.96,26,10,3,0.7222,0.8966,0.8,0.7222,23,13,0.6389,0.8846,0.7419,0.6389,23,13,0.6389,0.8846,0.7419,0.6389
20241123,movie,42,7,37,0,5,1.0,0.881,0.9367,30,7,5,0.8108,0.8571,0.8333,0.8108,25,12,0.6757,0.8333,0.7463,0.6757,24,13,0.6486,0.8276,0.7273,0.6486
20241124,movie,41,6,40,0,1,1.0,0.9756,0.9877,31,9,1,0.775,0.9688,0.8611,0.775,24,16,0.6,0.96,0.7385,0.6,24,16,0.6,0.96,0.7385,0.6
20241125,movie,41,6,40,0,1,1.0,0.9756,0.9877,23,17,1,0.575,0.9583,0.7188,0.575,20,20,0.5,0.9524,0.6557,0.5,17,23,0.425,0.9444,0.5862,0.425
20241126,movie,44,8,39,1,5,0.975,0.8864,0.9286,24,15,5,0.6154,0.8276,0.7059,0.6154,18,21,0.4615,0.7826,0.5806,0.4615,19,20,0.4872,0.7917,0.6032,0.4872
20241127,movie,46,6,43,0,3,1.0,0.9348,0.9663,30,13,3,0.6977,0.9091,0.7895,0.6977,24,19,0.5581,0.8889,0.6857,0.5581,24,19,0.5581,0.8889,0.6857,0.5581
20241128,movie,46,7,44,0,2,1.0,0.9565,0.9778,30,14,2,0.6818,0.9375,0.7895,0.6818,26,18,0.5909,0.9286,0.7222,0.5909,23,21,0.5227,0.92,0.6667,0.5227
