block_type,start,end,duration
AD,0.0,8.0,8.0
DJ,8.0,9.0,1.0
AD,9.0,29.0,20.0
DJ,29.0,93.0,64.0
AD,93.0,116.0,23.0
DJ,116.0,137.0,21.0
MUSIC,137.0,395.0,258.0
DJ,395.0,471.0,76.0
AD,471.0,575.0,104.0
MUSIC,575.0,836.0,261.0
DJ,836.0,913.0,77.0
AD,913.0,914.0,1.0
DJ,914.0,1107.0,193.0
MUSIC,1107.0,1576.0,469.0
DJ,1576.0,1720.0,144.0
AD,1720.0,1871.0,151.0
DJ,1871.0,2131.0,260.0
MUSIC,2131.0,2397.0,266.0
DJ,2397.0,2643.0,246.0
MUSIC,2643.0,2872.0,229.0
AD,2872.0,3100.0,228.0
DJ,3100.0,3117.0,17.0
MUSIC,3117.0,3364.0,247.0
AD,3364.0,3620.0,256.0
MUSIC,3620.0,3827.0,207.0
DJ,3827.0,3995.0,168.0
AD,3995.0,4040.0,45.0
DJ,4040.0,4712.0,672.0
MUSIC,4712.0,4882.0,170.0
AD,4882.0,4908.0,26.0
DJ,4908.0,5163.0,255.0
MUSIC,5163.0,5317.0,154.0
AD,5317.0,5470.0,153.0
MUSIC,5470.0,5648.0,178.0
DJ,5648.0,5702.0,54.0
AD,5702.0,5708.0,6.0
DJ,5708.0,5767.0,59.0
MUSIC,5767.0,6180.0,413.0
AD,6180.0,6181.0,1.0
DJ,6181.0,6335.0,154.0
MUSIC,6335.0,6534.0,199.0
AD,6534.0,6709.0,175.0
DJ,6709.0,6755.0,46.0
AD,6755.0,6759.0,4.0
MUSIC,6759.0,6963.0,204.0
AD,6963.0,7206.0,243.0
DJ,7206.0,7208.0,2.0
