Cluster ID,Match Start,Match Stop,Duration,Match Score,Query Path,language,avg_logprob,error
1,14.104,33.04,18.94,209,panako/baechulsu/clips/20241126/clip_000005_015000.mp3,ko,,
1,24.152,40.24,16.09,334,panako/baechulsu/clips/20241126/clip_000008_024000.mp3,ko,-0.0989,
1,25.928,40.24,14.31,342,panako/baechulsu/clips/20241126/clip_000009_027000.mp3,ko,-0.0666,
2,106.568,115.048,8.48,242,panako/baechulsu/clips/20241126/clip_000033_099000.mp3,ko,-0.1652,
3,484.968,504.432,19.46,664,panako/baechulsu/clips/20241126/clip_000170_510000.mp3,ko,-0.1256,
3,487.96,507.224,19.26,635,panako/baechulsu/clips/20241126/clip_000171_513000.mp3,ko,-0.1158,
3,491.184,509.896,18.71,614,panako/baechulsu/clips/20241126/clip_000172_516000.mp3,ko,-0.2281,
3,497.104,515.832,18.73,476,panako/baechulsu/clips/20241126/clip_000174_522000.mp3,ko,-0.0874,
3,509.0,528.504,19.5,331,panako/baechulsu/clips/20241126/clip_000178_534000.mp3,ko,-0.1496,
3,518.064,537.256,19.19,544,panako/baechulsu/clips/20241126/clip_000181_543000.mp3,ko,-0.1426,
3,542.608,561.304,18.7,419,panako/baechulsu/clips/20241126/clip_000189_567000.mp3,ko,-0.081,
3,550.952,570.128,19.18,536,panako/baechulsu/clips/20241126/clip_000192_576000.mp3,ko,-0.0938,
3,2874.848,2893.736,18.89,485,panako/baechulsu/clips/20241126/clip_000193_579000.mp3,ko,-0.0809,
3,563.016,573.816,10.8,328,panako/baechulsu/clips/20241126/clip_000196_588000.mp3,ko,-0.139,
4,1720.128,1737.128,17.0,759,panako/baechulsu/clips/20241126/clip_000573_1719000.mp3,ko,-0.1387,
4,1721.112,1740.016,18.9,821,panako/baechulsu/clips/20241126/clip_000574_1722000.mp3,ko,-0.7584,
4,1732.656,1752.248,19.59,741,panako/baechulsu/clips/20241126/clip_000578_1734000.mp3,ko,-0.3006,
4,1744.608,1763.464,18.86,590,panako/baechulsu/clips/20241126/clip_000582_1746000.mp3,ko,-0.0692,
4,1762.616,1782.184,19.57,652,panako/baechulsu/clips/20241126/clip_000588_1764000.mp3,ko,-0.2709,
4,1771.576,1791.16,19.58,668,panako/baechulsu/clips/20241126/clip_000591_1773000.mp3,ko,-0.0859,
4,1777.592,1797.152,19.56,644,panako/baechulsu/clips/20241126/clip_000593_1779000.mp3,ko,-0.1437,
4,1784.368,1802.792,18.42,694,panako/baechulsu/clips/20241126/clip_000595_1785000.mp3,ko,-0.1183,
4,1792.576,1806.568,13.99,359,panako/baechulsu/clips/20241126/clip_000598_1794000.mp3,ko,-0.1386,
5,2876.472,2894.04,17.57,542,panako/baechulsu/clips/20241126/clip_000971_2913000.mp3,ko,-0.1717,
5,2879.528,2898.624,19.1,518,panako/baechulsu/clips/20241126/clip_000972_2916000.mp3,ko,-0.1549,
5,2888.296,2907.456,19.16,495,panako/baechulsu/clips/20241126/clip_000975_2925000.mp3,ko,-0.139,
5,2896.392,2913.824,17.43,467,panako/baechulsu/clips/20241126/clip_000977_2931000.mp3,ko,-0.2521,
5,2975.536,2994.048,18.51,423,panako/baechulsu/clips/20241126/clip_000984_2952000.mp3,ko,-0.1098,
5,2914.704,2932.776,18.07,391,panako/baechulsu/clips/20241126/clip_000990_2970000.mp3,ko,-0.2973,
5,2935.352,2953.624,18.27,601,panako/baechulsu/clips/20241126/clip_001004_3012000.mp3,ko,-0.1643,
5,2997.816,3014.288,16.47,817,panako/baechulsu/clips/20241126/clip_001018_3054000.mp3,ko,-0.1646,
5,3041.4,3060.808,19.41,703,panako/baechulsu/clips/20241126/clip_001026_3078000.mp3,ko,-0.0866,
5,3047.368,3066.592,19.22,713,panako/baechulsu/clips/20241126/clip_001028_3084000.mp3,ko,-0.0929,
5,3050.856,3069.48,18.62,588,panako/baechulsu/clips/20241126/clip_001029_3087000.mp3,ko,-0.0748,
5,3062.872,3081.728,18.86,538,panako/baechulsu/clips/20241126/clip_001033_3099000.mp3,ko,-0.0511,
5,3071.312,3090.16,18.85,454,panako/baechulsu/clips/20241126/clip_001036_3108000.mp3,ko,-0.0589,
5,3077.328,3094.2,16.87,337,panako/baechulsu/clips/20241126/clip_001038_3114000.mp3,ko,-0.072,
6,3412.656,3425.552,12.9,541,panako/baechulsu/clips/20241126/clip_001136_3408000.mp3,ko,-0.1356,
6,3418.512,3437.992,19.48,259,panako/baechulsu/clips/20241126/clip_001140_3420000.mp3,ko,-0.1327,
6,3442.664,3461.68,19.02,807,panako/baechulsu/clips/20241126/clip_001148_3444000.mp3,ko,-0.3967,
6,3445.632,3465.016,19.38,851,panako/baechulsu/clips/20241126/clip_001149_3447000.mp3,ko,-0.4961,
6,3451.616,3470.992,19.38,615,panako/baechulsu/clips/20241126/clip_001151_3453000.mp3,ko,-0.2388,
6,3463.96,3483.096,19.14,380,panako/baechulsu/clips/20241126/clip_001155_3465000.mp3,ko,-0.137,
6,3470.136,3489.16,19.02,440,panako/baechulsu/clips/20241126/clip_001157_3471000.mp3,ko,-0.0975,
6,3473.048,3491.976,18.93,536,panako/baechulsu/clips/20241126/clip_001158_3474000.mp3,ko,-0.1218,
6,3478.56,3498.016,19.46,544,panako/baechulsu/clips/20241126/clip_001160_3480000.mp3,ko,-0.1088,
6,3503.408,3522.208,18.8,964,panako/baechulsu/clips/20241126/clip_001168_3504000.mp3,ko,-0.3329,
6,3505.728,3524.904,19.18,1047,panako/baechulsu/clips/20241126/clip_001169_3507000.mp3,ko,-0.1624,
6,3517.624,3536.984,19.36,951,panako/baechulsu/clips/20241126/clip_001173_3519000.mp3,ko,-0.1852,
6,3538.952,3557.552,18.6,424,panako/baechulsu/clips/20241126/clip_001180_3540000.mp3,ko,-0.2114,
6,3547.792,3566.952,19.16,572,panako/baechulsu/clips/20241126/clip_001183_3549000.mp3,ko,-0.1191,
6,3559.584,3579.2,19.62,614,panako/baechulsu/clips/20241126/clip_001187_3561000.mp3,ko,-0.1491,
6,3568.576,3588.064,19.49,616,panako/baechulsu/clips/20241126/clip_001190_3570000.mp3,ko,-0.198,
6,3583.608,3602.792,19.18,784,panako/baechulsu/clips/20241126/clip_001195_3585000.mp3,ko,-0.1011,
6,3592.56,3609.456,16.9,579,panako/baechulsu/clips/20241126/clip_001198_3594000.mp3,ko,-0.0981,
7,3995.864,4011.976,16.11,260,panako/baechulsu/clips/20241126/clip_001297_3891000.mp3,ko,-0.2423,
7,4007.592,4027.16,19.57,494,panako/baechulsu/clips/20241126/clip_001302_3906000.mp3,ko,-0.0883,
7,4013.576,4033.008,19.43,541,panako/baechulsu/clips/20241126/clip_001304_3912000.mp3,ko,-0.2507,
7,4022.824,4036.8,13.98,352,panako/baechulsu/clips/20241126/clip_001307_3921000.mp3,ko,-0.1222,
7,4025.616,4036.8,11.18,280,panako/baechulsu/clips/20241126/clip_001308_3924000.mp3,ko,-0.1314,
8,5320.064,5337.024,16.96,317,panako/baechulsu/clips/20241126/clip_001773_5319000.mp3,ko,-0.1855,
8,5321.048,5339.84,18.79,482,panako/baechulsu/clips/20241126/clip_001774_5322000.mp3,ko,-0.1983,
8,5330.288,5348.792,18.5,743,panako/baechulsu/clips/20241126/clip_001777_5331000.mp3,ko,-0.1812,
8,5344.68,5363.064,18.38,986,panako/baechulsu/clips/20241126/clip_001782_5346000.mp3,ko,-0.0782,
8,5347.704,5366.672,18.97,861,panako/baechulsu/clips/20241126/clip_001783_5349000.mp3,ko,-0.0851,
8,5362.568,5382.088,19.52,248,panako/baechulsu/clips/20241126/clip_001788_5364000.mp3,ko,-0.3276,
8,5365.584,5385.04,19.46,350,panako/baechulsu/clips/20241126/clip_001789_5367000.mp3,ko,-0.0749,
8,5383.568,5402.36,18.79,282,panako/baechulsu/clips/20241126/clip_001795_5385000.mp3,ko,-0.0652,
9,6543.0,6562.024,19.02,292,panako/baechulsu/clips/20241126/clip_002178_6534000.mp3,ko,-0.0569,
9,6545.561,6564.208,18.65,294,panako/baechulsu/clips/20241126/clip_002179_6537000.mp3,ko,-0.0718,
9,6551.625,6570.96,19.34,378,panako/baechulsu/clips/20241126/clip_002181_6543000.mp3,ko,-0.0632,
9,6555.0,6573.848,18.85,347,panako/baechulsu/clips/20241126/clip_002182_6546000.mp3,ko,-0.1268,
9,6572.736,6591.368,18.63,335,panako/baechulsu/clips/20241126/clip_002188_6564000.mp3,ko,-0.2112,
9,6575.544,6594.928,19.38,374,panako/baechulsu/clips/20241126/clip_002189_6567000.mp3,ko,-0.2259,
9,6581.504,6601.041,19.54,399,panako/baechulsu/clips/20241126/clip_002191_6573000.mp3,ko,-0.2078,
9,6584.512,6604.104,19.59,442,panako/baechulsu/clips/20241126/clip_002192_6576000.mp3,ko,-0.1628,
9,6603.008,6621.96,18.95,361,panako/baechulsu/clips/20241126/clip_002198_6594000.mp3,ko,-0.1412,
9,6625.0,6643.145,18.15,411,panako/baechulsu/clips/20241126/clip_002212_6636000.mp3,ko,-0.1198,
9,6639.488,6658.896,19.41,627,panako/baechulsu/clips/20241126/clip_002217_6651000.mp3,ko,-0.1259,
9,6643.145,6661.457,18.31,684,panako/baechulsu/clips/20241126/clip_002218_6654000.mp3,ko,-0.1641,
9,6651.656,6670.608,18.95,552,panako/baechulsu/clips/20241126/clip_002221_6663000.mp3,ko,-0.0799,
9,6663.496,6682.36,18.86,679,panako/baechulsu/clips/20241126/clip_002225_6675000.mp3,ko,-0.1324,
9,6666.552,6682.368,15.82,634,panako/baechulsu/clips/20241126/clip_002226_6678000.mp3,ko,-0.1431,
10,7027.68,7047.192,19.51,631,panako/baechulsu/clips/20241126/clip_002343_7029000.mp3,ko,-0.4058,
10,7048.665,7068.176,19.51,1063,panako/baechulsu/clips/20241126/clip_002350_7050000.mp3,ko,-0.1541,
10,7057.64,7077.2,19.56,1026,panako/baechulsu/clips/20241126/clip_002353_7059000.mp3,ko,-0.2677,
10,7099.96,7119.208,19.25,412,panako/baechulsu/clips/20241126/clip_002367_7101000.mp3,ko,-0.2169,
10,7103.368,7121.944,18.58,462,panako/baechulsu/clips/20241126/clip_002368_7104000.mp3,ko,-0.1904,
10,7111.736,7131.056,19.32,587,panako/baechulsu/clips/20241126/clip_002371_7113000.mp3,ko,-0.2147,
10,7138.72,7158.032,19.31,553,panako/baechulsu/clips/20241126/clip_002380_7140000.mp3,ko,-0.1245,
10,7141.736,7161.008,19.27,503,panako/baechulsu/clips/20241126/clip_002381_7143000.mp3,ko,-0.1489,
10,7150.665,7170.064,19.4,461,panako/baechulsu/clips/20241126/clip_002384_7152000.mp3,ko,-0.1212,
10,7153.616,7173.185,19.57,494,panako/baechulsu/clips/20241126/clip_002385_7155000.mp3,ko,-0.1095,
10,7157.448,7176.152,18.7,708,panako/baechulsu/clips/20241126/clip_002386_7158000.mp3,ko,-0.0674,
10,7172.056,7190.992,18.94,631,panako/baechulsu/clips/20241126/clip_002391_7173000.mp3,ko,-0.1096,
10,7177.968,7196.72,18.75,548,panako/baechulsu/clips/20241126/clip_002393_7179000.mp3,ko,-0.1302,
