Cluster ID,Match Start,Match Stop,Duration,Match Score,Query Path
1,15.584,34.824,19.24,285,panako/baechulsu/clips/20260105/clip_000005_015000.mp3
2,446.768,465.728,18.96,532,panako/baechulsu/clips/20260105/clip_000199_597000.mp3
2,449.72,468.848,19.13,452,panako/baechulsu/clips/20260105/clip_000200_600000.mp3
2,458.256,477.288,19.03,469,panako/baechulsu/clips/20260105/clip_000203_609000.mp3
2,461.192,480.68,19.49,442,panako/baechulsu/clips/20260105/clip_000204_612000.mp3
2,467.352,486.496,19.14,509,panako/baechulsu/clips/20260105/clip_000206_618000.mp3
2,473.736,492.52,18.78,644,panako/baechulsu/clips/20260105/clip_000208_624000.mp3
2,485.448,504.544,19.1,839,panako/baechulsu/clips/20260105/clip_000212_636000.mp3
2,488.296,507.888,19.59,837,panako/baechulsu/clips/20260105/clip_000213_639000.mp3
2,491.24,510.328,19.09,743,panako/baechulsu/clips/20260105/clip_000214_642000.mp3
2,497.224,516.768,19.54,590,panako/baechulsu/clips/20260105/clip_000216_648000.mp3
2,515.208,534.496,19.29,854,panako/baechulsu/clips/20260105/clip_000222_666000.mp3
2,542.568,561.52,18.95,666,panako/baechulsu/clips/20260105/clip_000231_693000.mp3
2,548.272,567.8,19.53,714,panako/baechulsu/clips/20260105/clip_000233_699000.mp3
2,554.24,573.664,19.42,1008,panako/baechulsu/clips/20260105/clip_000235_705000.mp3
2,557.2,576.688,19.49,884,panako/baechulsu/clips/20260105/clip_000236_708000.mp3
2,581.608,600.816,19.21,289,panako/baechulsu/clips/20260105/clip_000244_732000.mp3
2,594.832,612.704,17.87,492,panako/baechulsu/clips/20260105/clip_000248_744000.mp3
2,599.296,618.704,19.41,678,panako/baechulsu/clips/20260105/clip_000250_750000.mp3
2,623.392,642.504,19.11,377,panako/baechulsu/clips/20260105/clip_000258_774000.mp3
2,626.176,645.72,19.54,448,panako/baechulsu/clips/20260105/clip_000259_777000.mp3
2,632.224,651.216,18.99,507,panako/baechulsu/clips/20260105/clip_000261_783000.mp3
2,638.248,653.336,15.09,368,panako/baechulsu/clips/20260105/clip_000263_789000.mp3
3,1723.584,1732.032,8.45,522,panako/baechulsu/clips/20260105/clip_000571_1713000.mp3
3,1719.648,1737.848,18.2,876,panako/baechulsu/clips/20260105/clip_000573_1719000.mp3
3,1730.464,1749.816,19.35,731,panako/baechulsu/clips/20260105/clip_000577_1731000.mp3
4,5387.464,5405.864,18.4,1016,panako/baechulsu/clips/20260105/clip_000596_1788000.mp3
4,1790.488,1807.104,16.62,808,panako/baechulsu/clips/20260105/clip_000597_1791000.mp3
5,3054.312,3072.808,18.5,483,panako/baechulsu/clips/20260105/clip_000952_2856000.mp3
5,3056.736,3075.952,19.22,476,panako/baechulsu/clips/20260105/clip_000953_2859000.mp3
5,3059.736,3079.184,19.45,613,panako/baechulsu/clips/20260105/clip_000954_2862000.mp3
5,3065.664,3085.0,19.34,544,panako/baechulsu/clips/20260105/clip_000956_2868000.mp3
5,3071.624,3090.816,19.19,460,panako/baechulsu/clips/20260105/clip_000958_2874000.mp3
5,3083.768,3102.68,18.91,554,panako/baechulsu/clips/20260105/clip_000962_2886000.mp3
5,3098.608,3118.04,19.43,594,panako/baechulsu/clips/20260105/clip_000967_2901000.mp3
5,3101.672,3121.072,19.4,401,panako/baechulsu/clips/20260105/clip_000968_2904000.mp3
5,3113.72,3133.024,19.3,376,panako/baechulsu/clips/20260105/clip_000972_2916000.mp3
5,3122.592,3141.944,19.35,325,panako/baechulsu/clips/20260105/clip_000975_2925000.mp3
