Cluster ID,Match Start,Match Stop,Duration,Match Score,Query Path
1,3.656,22.648,18.99,514,panako/movie/clips/20241128/clip_000001_003000.mp3
1,42.648,61.968,19.32,587,panako/movie/clips/20241128/clip_000014_042000.mp3
1,54.584,64.704,10.12,213,panako/movie/clips/20241128/clip_000018_054000.mp3
2,523.12,539.68,16.56,604,panako/movie/clips/20241128/clip_000154_462000.mp3
2,523.384,542.576,19.19,708,panako/movie/clips/20241128/clip_000155_465000.mp3
2,526.576,545.704,19.13,673,panako/movie/clips/20241128/clip_000156_468000.mp3
2,529.296,548.664,19.37,720,panako/movie/clips/20241128/clip_000157_471000.mp3
2,541.32,560.536,19.22,600,panako/movie/clips/20241128/clip_000161_483000.mp3
2,550.312,569.704,19.39,555,panako/movie/clips/20241128/clip_000164_492000.mp3
2,553.248,572.736,19.49,662,panako/movie/clips/20241128/clip_000165_495000.mp3
2,556.328,575.528,19.2,629,panako/movie/clips/20241128/clip_000166_498000.mp3
3,643.144,661.808,18.66,868,panako/movie/clips/20241128/clip_000188_564000.mp3
3,648.2,667.656,19.46,811,panako/movie/clips/20241128/clip_000190_570000.mp3
3,651.216,670.816,19.6,808,panako/movie/clips/20241128/clip_000191_573000.mp3
3,663.168,682.272,19.1,668,panako/movie/clips/20241128/clip_000195_585000.mp3
3,705.32,720.992,15.67,504,panako/movie/clips/20241128/clip_000209_627000.mp3
3,708.256,720.992,12.74,445,panako/movie/clips/20241128/clip_000210_630000.mp3
3,723.168,737.768,14.6,589,panako/movie/clips/20241128/clip_000220_660000.mp3
3,724.176,742.704,18.53,724,panako/movie/clips/20241128/clip_000222_666000.mp3
3,727.2,746.712,19.51,603,panako/movie/clips/20241128/clip_000223_669000.mp3
3,730.248,749.632,19.38,594,panako/movie/clips/20241128/clip_000224_672000.mp3
3,739.216,758.72,19.5,311,panako/movie/clips/20241128/clip_000227_681000.mp3
3,748.664,762.088,13.42,223,panako/movie/clips/20241128/clip_000230_690000.mp3
4,1666.4,1684.856,18.46,129,panako/movie/clips/20241128/clip_000542_1626000.mp3
4,1712.424,1730.656,18.23,410,panako/movie/clips/20241128/clip_000557_1671000.mp3
4,1720.392,1739.784,19.39,629,panako/movie/clips/20241128/clip_000560_1680000.mp3
4,1729.248,1748.352,19.1,842,panako/movie/clips/20241128/clip_000563_1689000.mp3
4,1732.384,1751.792,19.41,870,panako/movie/clips/20241128/clip_000564_1692000.mp3
4,1735.28,1754.704,19.42,804,panako/movie/clips/20241128/clip_000565_1695000.mp3
4,1750.296,1769.6,19.3,578,panako/movie/clips/20241128/clip_000570_1710000.mp3
4,1771.56,1790.592,19.03,422,panako/movie/clips/20241128/clip_000577_1731000.mp3
4,1777.368,1796.856,19.49,488,panako/movie/clips/20241128/clip_000579_1737000.mp3
