Cluster ID,Match Start,Match Stop,Duration,Match Score,Query Path
1,44.312,54.456,10.14,161,panako/noon/clips/20260114/clip_000014_042000.mp3
2,623.856,636.64,12.78,382,panako/noon/clips/20260114/clip_000188_564000.mp3
2,626.208,645.832,19.62,665,panako/noon/clips/20260114/clip_000191_573000.mp3
2,632.184,651.432,19.25,657,panako/noon/clips/20260114/clip_000193_579000.mp3
2,635.304,654.656,19.35,686,panako/noon/clips/20260114/clip_000194_582000.mp3
2,647.408,666.592,19.18,218,panako/noon/clips/20260114/clip_000198_594000.mp3
2,656.24,675.728,19.49,418,panako/noon/clips/20260114/clip_000201_603000.mp3
2,664.464,680.384,15.92,899,panako/noon/clips/20260114/clip_000203_609000.mp3
2,665.176,680.384,15.21,863,panako/noon/clips/20260114/clip_000204_612000.mp3
2,671.224,680.384,9.16,515,panako/noon/clips/20260114/clip_000206_618000.mp3
3,1045.64,1056.904,11.26,553,panako/noon/clips/20260114/clip_000306_918000.mp3
3,1046.488,1065.696,19.21,731,panako/noon/clips/20260114/clip_000307_921000.mp3
3,1052.464,1070.768,18.3,598,panako/noon/clips/20260114/clip_000309_927000.mp3
3,1063.272,1070.768,7.5,445,panako/noon/clips/20260114/clip_000311_933000.mp3
4,1722.744,1741.824,19.08,858,panako/noon/clips/20260114/clip_000574_1722000.mp3
4,1746.608,1765.92,19.31,675,panako/noon/clips/20260114/clip_000582_1746000.mp3
4,1749.616,1769.08,19.46,520,panako/noon/clips/20260114/clip_000583_1749000.mp3
4,1755.92,1774.8,18.88,439,panako/noon/clips/20260114/clip_000585_1755000.mp3
4,1770.832,1790.064,19.23,214,panako/noon/clips/20260114/clip_000590_1770000.mp3
4,1803.76,1823.08,19.32,1124,panako/noon/clips/20260114/clip_000601_1803000.mp3
4,1827.784,1846.968,19.18,669,panako/noon/clips/20260114/clip_000609_1827000.mp3
4,1830.608,1848.76,18.15,445,panako/noon/clips/20260114/clip_000610_1830000.mp3
4,1836.608,1855.96,19.35,272,panako/noon/clips/20260114/clip_000612_1836000.mp3
4,1848.76,1867.328,18.57,488,panako/noon/clips/20260114/clip_000616_1848000.mp3
5,3065.52,3078.008,12.49,577,panako/noon/clips/20260114/clip_001023_3069000.mp3
5,3067.648,3087.112,19.46,952,panako/noon/clips/20260114/clip_001026_3078000.mp3
5,3070.568,3089.904,19.34,993,panako/noon/clips/20260114/clip_001027_3081000.mp3
5,3094.6,3114.16,19.56,710,panako/noon/clips/20260114/clip_001035_3105000.mp3
5,3100.744,3119.928,19.18,619,panako/noon/clips/20260114/clip_001037_3111000.mp3
5,3103.592,3122.968,19.38,601,panako/noon/clips/20260114/clip_001038_3114000.mp3
5,3106.664,3126.16,19.5,664,panako/noon/clips/20260114/clip_001039_3117000.mp3
5,3115.992,3134.056,18.06,665,panako/noon/clips/20260114/clip_001042_3126000.mp3
5,3121.568,3141.008,19.44,617,panako/noon/clips/20260114/clip_001044_3132000.mp3
5,3133.6,3152.704,19.1,881,panako/noon/clips/20260114/clip_001048_3144000.mp3
5,3155.704,3173.944,18.24,475,panako/noon/clips/20260114/clip_001055_3165000.mp3
5,3157.592,3177.048,19.46,537,panako/noon/clips/20260114/clip_001056_3168000.mp3
5,3166.76,3184.824,18.06,592,panako/noon/clips/20260114/clip_001059_3177000.mp3
5,3173.08,3192.216,19.14,658,panako/noon/clips/20260114/clip_001061_3183000.mp3
5,3175.56,3195.144,19.58,618,panako/noon/clips/20260114/clip_001062_3186000.mp3
5,3184.664,3204.16,19.5,119,panako/noon/clips/20260114/clip_001065_3195000.mp3
6,3499.264,3518.2,18.94,259,panako/noon/clips/20260114/clip_001166_3498000.mp3
6,3513.672,3532.24,18.57,1112,panako/noon/clips/20260114/clip_001171_3513000.mp3
6,3516.952,3535.888,18.94,1195,panako/noon/clips/20260114/clip_001172_3516000.mp3
6,3525.616,3545.072,19.46,1058,panako/noon/clips/20260114/clip_001175_3525000.mp3
6,3534.744,3553.808,19.06,763,panako/noon/clips/20260114/clip_001178_3534000.mp3
6,5360.744,5380.032,19.29,544,panako/noon/clips/20260114/clip_001185_3555000.mp3
6,3600.688,3618.464,17.78,686,panako/noon/clips/20260114/clip_001200_3600000.mp3
6,3612.704,3632.072,19.37,515,panako/noon/clips/20260114/clip_001204_3612000.mp3
6,3621.6,3641.144,19.54,822,panako/noon/clips/20260114/clip_001207_3621000.mp3
6,3627.736,3646.392,18.66,766,panako/noon/clips/20260114/clip_001209_3627000.mp3
6,3633.648,3650.464,16.82,673,panako/noon/clips/20260114/clip_001211_3633000.mp3
7,3914.736,3934.16,19.42,501,panako/noon/clips/20260114/clip_001274_3822000.mp3
7,3917.68,3936.816,19.14,498,panako/noon/clips/20260114/clip_001275_3825000.mp3
7,3923.656,3943.104,19.45,601,panako/noon/clips/20260114/clip_001277_3831000.mp3
7,3929.92,3949.272,19.35,680,panako/noon/clips/20260114/clip_001279_3837000.mp3
7,3947.792,3966.744,18.95,658,panako/noon/clips/20260114/clip_001285_3855000.mp3
7,3974.624,3994.168,19.54,543,panako/noon/clips/20260114/clip_001294_3882000.mp3
7,3977.832,3997.304,19.47,577,panako/noon/clips/20260114/clip_001295_3885000.mp3
7,3992.72,4012.152,19.43,586,panako/noon/clips/20260114/clip_001300_3900000.mp3
7,4007.84,4026.992,19.15,415,panako/noon/clips/20260114/clip_001305_3915000.mp3
7,4010.672,4030.296,19.62,342,panako/noon/clips/20260114/clip_001306_3918000.mp3
7,4016.648,4036.096,19.45,498,panako/noon/clips/20260114/clip_001308_3924000.mp3
7,4022.664,4042.216,19.55,730,panako/noon/clips/20260114/clip_001310_3930000.mp3
7,4031.664,4051.144,19.48,965,panako/noon/clips/20260114/clip_001313_3939000.mp3
7,4052.632,4072.208,19.58,1156,panako/noon/clips/20260114/clip_001320_3960000.mp3
7,4064.632,4084.28,19.65,1182,panako/noon/clips/20260114/clip_001324_3972000.mp3
7,4067.64,4087.2,19.56,1236,panako/noon/clips/20260114/clip_001325_3975000.mp3
8,5317.896,5333.256,15.36,638,panako/noon/clips/20260114/clip_001771_5313000.mp3
8,5334.72,5354.056,19.34,958,panako/noon/clips/20260114/clip_001778_5334000.mp3
8,5355.92,5375.352,19.43,559,panako/noon/clips/20260114/clip_001785_5355000.mp3
8,5376.912,5396.032,19.12,535,panako/noon/clips/20260114/clip_001792_5376000.mp3
8,5409.752,5429.328,19.58,695,panako/noon/clips/20260114/clip_001803_5409000.mp3
8,5418.84,5438.32,19.48,608,panako/noon/clips/20260114/clip_001806_5418000.mp3
8,5430.952,5442.152,11.2,360,panako/noon/clips/20260114/clip_001810_5430000.mp3
9,6686.784,6703.992,17.21,247,panako/noon/clips/20260114/clip_002265_6795000.mp3
9,6691.145,6710.632,19.49,283,panako/noon/clips/20260114/clip_002267_6801000.mp3
9,6694.296,6713.544,19.25,306,panako/noon/clips/20260114/clip_002268_6804000.mp3
9,6697.353,6716.616,19.26,275,panako/noon/clips/20260114/clip_002269_6807000.mp3
9,6721.145,6740.584,19.44,439,panako/noon/clips/20260114/clip_002277_6831000.mp3
9,6727.216,6746.784,19.57,306,panako/noon/clips/20260114/clip_002279_6837000.mp3
9,6736.168,6755.729,19.56,272,panako/noon/clips/20260114/clip_002282_6846000.mp3
9,6742.76,6761.584,18.82,284,panako/noon/clips/20260114/clip_002284_6852000.mp3
9,6748.152,6767.528,19.38,272,panako/noon/clips/20260114/clip_002286_6858000.mp3
9,6760.16,6779.584,19.42,375,panako/noon/clips/20260114/clip_002290_6870000.mp3
9,6763.2,6781.736,18.54,353,panako/noon/clips/20260114/clip_002291_6873000.mp3
9,6772.336,6791.36,19.02,439,panako/noon/clips/20260114/clip_002294_6882000.mp3
9,6781.432,6800.76,19.33,448,panako/noon/clips/20260114/clip_002297_6891000.mp3
10,7098.336,7106.056,7.72,208,panako/noon/clips/20260114/clip_002361_7083000.mp3
10,7098.928,7118.457,19.53,243,panako/noon/clips/20260114/clip_002365_7095000.mp3
10,7101.92,7121.192,19.27,231,panako/noon/clips/20260114/clip_002366_7098000.mp3
10,7113.784,7132.552,18.77,804,panako/noon/clips/20260114/clip_002370_7110000.mp3
